T,D,L,count,quality,cost,model_name
T2,D9,L1,0.0,0.0,0.0,sota-k
T2,D9,L2,4.0,3.09,0.009167,sota-k
T2,D9,L3,0.0,0.0,0.0,sota-k
T2,D10,L1,0.0,0.0,0.0,sota-k
T2,D10,L2,0.0,0.0,0.0,sota-k
T2,D10,L3,0.0,0.0,0.0,sota-k
T3,D1,L1,12.083333333333332,11.748333333333333,0.020977750000000003,sota-k
T3,D1,L2,18.583333333333332,17.12166666666667,0.04405891666666667,sota-k
T3,D1,L3,0.3333333333333333,0.3133333333333333,0.0008939999999999999,sota-k
T3,D2,L1,13.583333333333332,12.843333333333332,0.02523175,sota-k
T3,D2,L2,22.083333333333332,20.086666666666662,0.05203891666666668,sota-k
T3,D2,L3,0.3333333333333333,0.3133333333333333,0.0008939999999999999,sota-k
T3,D3,L1,0.0,0.0,0.0,sota-k
T3,D3,L2,0.0,0.0,0.0,sota-k
T3,D3,L3,0.0,0.0,0.0,sota-k
T3,D4,L1,0.0,0.0,0.0,sota-k
T3,D4,L2,0.5,0.355,0.0006069999999999999,sota-k
T3,D4,L3,0.0,0.0,0.0,sota-k
T3,D5,L1,0.0,0.0,0.0,sota-k
T3,D5,L2,0.0,0.0,0.0,sota-k
T3,D5,L3,0.0,0.0,0.0,sota-k
T3,D6,L1,0.0,0.0,0.0,sota-k
T3,D6,L2,0.0,0.0,0.0,sota-k
T3,D6,L3,0.0,0.0,0.0,sota-k
T3,D7,L1,0.0,0.0,0.0,sota-k
T3,D7,L2,0.0,0.0,0.0,sota-k
